label,Ss,Sr,q10,q50
"Beloeil, QC",2.4,0.4,0.29,0.37
"Brome, QC",2.5,0.4,0.29,0.37
"Brossard, QC",2.4,0.4,0.33,0.42
"Buckingham, QC",2.6,0.4,0.31,0.4
"Campbell's Bay, QC",2.6,0.4,0.25,0.32
"Chambly, QC",2.3,0.4,0.31,0.4
"Coaticook, QC",2.3,0.6,0.27,0.35
"Contrecoeur, QC",2.8,0.4,0.33,0.43
"Cowansville, QC",2.3,0.4,0.32,0.41
"Deux-Montagnes, QC",2.4,0.4,0.29,0.37
"Dolbeau, QC",3.5,0.3,0.27,0.35
"Dorval, QC",2.4,0.4,0.33,0.42
"Drummondville, QC",2.5,0.4,0.27,0.35
"Farnham, QC",2.2,0.4,0.29,0.37
"Fort-Coulonge, QC",2.5,0.4,0.25,0.32
"Gagnon, QC",4.6,0.4,0.3,0.39
"Gaspe, QC",4.3,0.6,0.37,0.48
"Gatineau, QC",2.5,0.4,0.32,0.41
"Gracefield, QC",2.6,0.4,0.25,0.32
"Granby, QC",2.3,0.4,0.27,0.35
"Harrington-Harbour, QC",4.9,0.6,0.56,0.72
"Havre-51-Pierre, QC",4.1,0.6,0.48,0.63
"Hemmingford, QC",2.4,0.4,0.31,0.4
"Hull, QC",2.4,0.4,0.32,0.41
"Joliette, QC",3.1,0.4,0.28,0.36
"Kuujjuaq, QC",4.8,0.2,0.47,0.6
"Kuujjuarapik, QC",4.5,0.3,0.43,0.55
"La Pocatiere, QC",3.2,0.6,0.39,0.5
"Lachute, QC",2.4,0.4,0.31,0.4
"Lac-Megantic, QC",3.2,0.6,0.27,0.35
"La-Malbaie, QC",3.1,0.6,0.37,0.48
"La-Tuque, QC",3.4,0.4,0.27,0.35
"Laval, QC",2.6,0.4,0.33,0.42
"lberville, QC",2.2,0.4,0.32,0.41
"Lennoxville, QC",2,0.6,0.25,0.32
"Lery, QC",2.3,0.4,0.33,0.42
"Levis, QC",3.3,0.6,0.32,0.41
"lnukjuak, QC",4.4,0.2,0.47,0.6
"Loretteville, QC",3.7,0.6,0.32,0.41
"Louiseville, QC",2.9,0.4,0.33,0.43
"Magog, QC",2.3,0.4,0.27,0.35
"Malartic, QC",3.3,0.3,0.25,0.32
"Maniwaki, QC",2.4,0.4,0.24,0.31
"Masson, QC",2.4,0.4,0.31,0.4
"Matane, QC",3.7,0.4,0.47,0.6
"Mont-Joli, QC",4,0.4,0.4,0.52
"Mont-Laurier, QC",2.6,0.4,0.23,0.3
"Montmagny, QC",2.9,0.6,0.36,0.47
"Montreal (City Hall), QC",2.6,0.4,0.33,0.42
"Montreal-Est, QC",2.7,0.4,0.33,0.42
"Montreal-Nord, QC",2.6,0.4,0.33,0.42
"Nicolet (Gentilly), QC",2.8,0.4,0.33,0.42
"Nitchequon, QC",3.5,0.3,0.29,0.37
"Noranda, QC",3.2,0.3,0.27,0.35
"Outremont, QC",2.8,0.4,0.33,0.42
"Perce, QC",3.8,0.6,0.56,0.72
"Pierrefonds, QC",2.4,0.4,0.33,0.42
"Pincourt, QC",2.3,0.4,0.33,0.42
"Plessisville, QC",2.8,0.6,0.27,0.35
"Port-Cartier, QC",4.1,0.4,0.42,0.54
"Puvirnituq, QC",4.5,0.2,0.47,0.6
"Quebec, QC",3.6,0.6,0.32,0.41
"Richmond, QC",2.2,0.6,0.25,0.32
"Rimouski, QC",3.8,0.4,0.4,0.52
"Riviere-du-Loup, QC",3.3,0.6,0.39,0.5
"Roberval, QC",3.5,0.3,0.27,0.35
"Rock·lsland, QC",2,0.4,0.27,0.35
"Rosemere, QC",2.6,0.4,0.31,0.4
"Rouyn, QC",3.1,0.3,0.27,0.35
"Saguenay, QC",2.5,0.4,0.28,0.36
"Saguenay (Bagotville), QC",2.4,0.4,0.29,0.38
"Saguenay (Jonquiere), QC",3.1,0.4,0.27,0.35
"Saguenay (Kenogami), QC",3.1,0.4,0.27,0.35
"Saint·Jean·sur-Richelieu, QC",2.2,0.4,0.32,0.41
"Saint-Eustache, QC",2.4,0.4,0.29,0.37
"Saint-Hubert-de-Riviere-du-Loup, QC",4.4,0.6,0.31,0.4
"Salaberry·de-Valleyfield, QC",2.3,0.4,0.33,0.42
"Schefferville, QC",4.5,0.3,0.33,0.42
"Senneterre, QC",3.3,0.3,0.25,0.32
"Sept-iles, QC",4.1,0.4,0.42,0.54
"Shawinigan, QC",3.1,0.4,0.27,0.35
"Shawville, QC",2.8,0.4,0.27,0.35
"Sherbrooke, QC",2.2,0.6,0.25,0.32
"Sillery, QC",3.1,0.6,0.32,0.41
"Sorel, QC",2.8,0.4,0.33,0.43
"St·Georges·de·Cacouna, QC",3.2,0.6,0.39,0.5
"Ste-Agathe-des-Monts, QC",3.4,0.4,0.27,0.35
"Ste-Anne-de-Bellevue, QC",2.3,0.4,0.33,0.42
"Ste-Foy, QC",3.7,0.6,0.32,0.41
"St-Felicien, QC",3.5,0.3,0.27,0.35
"St-Hubert, QC",2.5,0.4,0.33,0.42
"St-Hyacinthe, QC",2.3,0.4,0.27,0.35
"St-Jerome, QC",2.7,0.4,0.29,0.37
"St-Jovite, QC",2.8,0.4,0.25,0.33
"St-Lambert, QC",2.5,0.4,0.33,0.42
"St-Laurent, QC",2.5,0.4,0.33,0.42
"St-Lazare-Hudson, QC",2.3,0.4,0.33,0.42
"St-Nicolas, QC",3.5,0.6,0.33,0.42
"Sutton, QC",2.4,0.4,0.32,0.41
"Tadoussac, QC",3.4,0.4,0.4,0.52
"Temiscaming, QC",2.5,0.4,0.25,0.32
"Terrebonne, QC",2.6,0.4,0.31,0.4
"Thetford Mines, QC",3.3,0.6,0.27,0.35
"Thurso, QC",2.4,0.4,0.31,0.4
"Trois-Rivieres, QC",2.8,0.4,0.33,0.43
"Val-d'Or, QC",3.4,0.3,0.25,0.32
"Varennes, QC",2.6,0.4,0.31,0.4
"Vercheres, QC",2.7,0.4,0.33,0.43
"Verdun, QC",2.5,0.4,0.33,0.42
"Victoriaville, QC",2.6,0.6,0.27,0.35
"Ville-Marie, QC",2.3,0.4,0.31,0.4
"Wakefield, QC",3.1,0.4,0.27,0.34
"Waterloo, QC",2.5,0.4,0.27,0.35
"Windsor, QC",2.3,0.4,0.25,0.32
"Assiniboia, SK",1.6,0.1,0.38,0.49
"Battrum, SK",1.2,0.1,0.42,0.54
"Biggar, SK",2.1,0.1,0.35,0.45
"Broadview, SK",1.7,0.1,0.36,0.46
"Dafoe, SK",1.7,0.1,0.29,0.37
"Dundurn, SK",1.5,0.1,0.36,0.46
"Estevan, SK",1.6,0.1,0.4,0.52
"Hudson Bay, SK",2,0.1,0.29,0.37
"Humboldt, SK",2.1,0.1,0.3,0.39
"Island Falls, SK",2.1,0.1,0.27,0.35
"Kamsack, SK",2.1,0.2,0.31,0.4
"Kindersley, SK",1.4,0.1,0.36,0.46
"Lloydminster, SK",2,0.1,0.31,0.4
"Maple Creek, SK",1.2,0.1,0.35,0.45
"Meadow Lake, SK",1.7,0.1,0.31,0.4
"Mellor!, SK",2.1,0.1,0.28,0.36
"Melville, SK",1.7,0.1,0.31,0.4
"Moose Jaw, SK",1.4,0.1,0.4,0.52
"Nipawin, SK",2,0.1,0.29,0.38
"North Battleford, SK",1.7,0.1,0.36,0.46
"Prince Albert, SK",1.9,0.1,0.29,0.38
"Qu'Appelle, SK",1.7,0.1,0.33,0.42
"Regina, SK",1.4,0.1,0.38,0.49
"Roselawn, SK",1.7,0.1,0.38,0.49
"Saskatoon, SK",1.7,0.1,0.33,0.43
"Scott, SK",1.9,0.1,0.35,0.45
"Strasbourg, SK",1.5,0.1,0.33,0.42
"Swift Current, SK",1.4,0.1,0.42,0.54
"Uranium City, SK",2,0.1,0.28,0.36
"Weyburn, SK",1.4,0.1,0.37,0.48
"Yorkton, SK",1.7,0.1,0.31,0.4
"Aishihik, YT",1.9,0.1,0.29,0.38
"Dawson, YT",2.7,0.1,0.24,0.31
"Destruction Bay, YT",1.6,0.1,0.47,0.6
"Faro, YT",2.3,0.1,0.27,0.35
"Haines Junction, YT",2.2,0.1,0.26,0.34
"Snag, YT",2.2,0.1,0.24,0.31
"Teslin, YT",2.9,0.1,0.26,0.34
"Watson Lake, YT",3.1,0.1,0.27,0.35
"Whitehorse, YT",1.8,0.1,0.29,0.38
