label,Ss,Sr,q10,q50
"Port Alberni, BC",3,0.4,0.25,0.32
"Port Alice, BC",1.1,0.4,0.25,0.32
"Port Hardy, BC",0.9,0.4,0.4,0.52
"Port McNeill, BC",1.1,0.4,0.4,0.52
"Port Renfrew, BC",1.1,0.4,0.4,0.52
"Powell River, BC",1.9,0.4,0.39,0.51
"Prince George, BC",3.4,0.2,0.29,0.37
"Prince Rupert, BC",1.9,0.4,0.42,0.54
"Princeton, BC",2.9,0.6,0.28,0.36
"Qualicum Beach, BC",2.2,0.4,0.41,0.53
"Queen Charlotte City, BC",1.8,0.4,0.48,0.61
"Quesnel, BC",3,0.1,0.24,0.31
"Revelstoke, BC",5.8,0.1,0.25,0.32
"Richmond, BC",1.5,0.2,0.35,0.45
"Salmon Arm, BC",3.5,0.1,0.3,0.39
"Sandspit, BC",1.8,0.4,0.6,0.78
"Sechelt, BC",2.2,0.4,0.37,0.48
"Sidney, BC",1.1,0.2,0.33,0.42
"Smith River, BC",2.8,0.1,0.23,0.3
"Smithers, BC",3.2,0.2,0.31,0.4
"Sooke, BC",1.3,0.3,0.37,0.48
"Squamish, BC",3.2,0.7,0.39,0.5
"Stewart, BC",7.9,0.8,0.28,0.36
"Surrey (88 Ave & 156 St.), BC",2.4,0.3,0.34,0.44
"Tahsis, BC",1.1,0.4,0.26,0.34
"Taylor, BC",2.3,0.1,0.31,0.4
"Terrace, BC",5.4,0.6,0.28,0.36
"Totino, BC",1.1,0.4,0.53,0.68
"Trail, BC",4.1,0.1,0.27,0.35
"Ucluelet, BC",1,0.4,0.53,0.68
"Vancouver (City Hall), BC",1.8,0.2,0.35,0.45
"Vancouver (Granville & 41 Ave), BC",1.9,0.3,0.35,0.45
"Vernon, BC",2.2,0.1,0.31,0.4
"Victoria, BC",1.1,0.2,0.44,0.57
"Victoria (Gonzales Hts), BC",1.5,0.3,0.44,0.57
"Victoria (Mt Tolmie), BC",2.1,0.3,0.48,0.63
"West Vancouver, BC",2.4,0.2,0.37,0.48
"Whistler, BC",9.5,0.9,0.25,0.32
"White Rock, BC",2,0.2,0.34,0.44
"Williams Lake, BC",2.4,0.2,0.27,0.35
"Youbou, BC",3.9,0.7,0.25,0.32
"Beausejour, MB",1.9,0.2,0.32,0.41
"Boissevain, MB",2.2,0.2,0.4,0.52
"Brandon, MB",2.1,0.2,0.38,0.49
"Churchill, MB",2.8,0.2,0.43,0.55
"Dauphin, MB",1.9,0.2,0.31,0.4
"Flin Flon, MB",2.2,0.2,0.27,0.35
"Gimli, MB",1.9,0.2,0.31,0.4
"Island Lake, MB",2.6,0.2,0.29,0.37
"Lac du Bonnet, MB",1.9,0.2,0.29,0.37
"Lynn Lake, MB",2.4,0.2,0.29,0.37
"Morden, MB",2.2,0.2,0.4,0.52
"Neepawa, MB",2.2,0.2,0.34,0.44
"Pine Falls, MB",1.9,0.2,0.3,0.39
"Portage la Prairie, MB",2.1,0.2,0.36,0.46
"Rivers, MB",2.1,0.2,0.36,0.46
"Sandilands, MB",2.2,0.2,0.31,0.4
"Selkirk, MB",1.9,0.2,0.32,0.41
"Split Lake, MB",2.5,0.2,0.3,0.39
"Steinbach, MB",2,0.2,0.31,0.4
"Swan River, MB",2,0.2,0.27,0.35
"The Pas, MB",2.1,0.2,0.29,0.37
"Thompson, MB",2.4,0.2,0.28,0.36
"Virden, MB",2,0.2,0.36,0.46
"Winnipeg, MB",1.9,0.2,0.35,0.45
"Alma, NB",2.3,0.6,0.37,0.48
"Bathurst, NB",3.5,0.6,0.37,0.48
"Campbellton, NB",3.6,0.4,0.35,0.45
"Edmundston, NB",3.4,0.6,0.29,0.38
"Fredericton, NB",3.1,0.6,0.29,0.38
"Gagetown, NB",2.8,0.6,0.31,0.4
"Grand Falls, NB",3.6,0.6,0.29,0.38
"Miramichi, NB",3.4,0.6,0.32,0.41
"Moncton, NB",3,0.6,0.39,0.5
"Oromocto, NB",3,0.6,0.3,0.39
"Sackville, NB",2.5,0.6,0.38,0.49
"Saint Andrews, NB",2.3,0.6,0.35,0.45
"Saint George, NB",2.3,0.6,0.35,0.45
"Saint John, NB",2.3,0.6,0.41,0.53
"Shippagan, NB",3.4,0.6,0.48,0.63
"St. Stephen, NB",2.5,0.6,0.33,0.42
"Woodstock, NB",3.1,0.6,0.29,0.37
"Argentia, NL",2.4,0.7,0.58,0.75
"Bonavista, NL",2.8,0.6,0.65,0.84
"Buchans, NL",4.7,0.6,0.47,0.6
"Cape Harrison, NL",6.3,0.4,0.47,0.6
"Cape Race, NL",2.3,0.7,0.81,1.05
"Channel-Port aux Basques, NL",3,0.7,0.6,0.78
"Corner Brook, NL",3.7,0.6,0.43,0.55
"Gander, NL",3.7,0.6,0.47,0.6
"Grand Bank, NL",2.4,0.7,0.57,0.74
"Grand Falls, NL",3.4,0.6,0.47,0.6
"Happy Valley-Goose Bay, NL",5.3,0.4,0.33,0.42
"Labrador City, NL",4.3,0.3,0.31,0.4
